IDENT,PROBLEM,ACTION,DESAB
104718,#4 CYL NEEDS TO BE CHANGED (FAILED ).,"REMOVED BAFFLING, CYL, PISTONS & ATTACHING HARDWARE.",#4 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104719,#1 CYL NEEDS TO BE CHANGED (FAILED ).,REMOVED #1 CYL & PISTON. INSTALLED PISTON RINGS & CYL.,#1 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104720,#2 CYL NEEDS TO BE CHANGED (FAILED ).,INSTALLED PISTON RINGS & CYL. LUBED & TORQUED CYL BASE,#2 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104721,#3 CYL NEEDS TO BE CHANGED (FAILED ).,REMOVED #3 CYL & PISTON. INSTALLED PISTON RINGS & CYL.,#3 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104722,#4 CYL NEEDS TO BE CHANGED (FAILED ).,INSTALLED PISTON RINGS & CYL. LUBED & TORQUED CYL BASE,#4 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104723,#1 CYL NEEDS TO BE CHANGED (FAILED ).,"REMOVED FWD BAFFLE, MUFFLER, ALTERNATOR, INTAKE & LINES",#1 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104723,#1 CYL NEEDS TO BE CHANGED (FAILED ).,"INSTALLED INTAKE TUBE, CHT PROBE, INTERCYL BAFFLING, BA",#1 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104725,#2 CYL NEEDS TO BE CHANGED (FAILED ).,"INSTALLED INTAKE TUBE, CHT PROBE, INTERCYL BAFFLING, BA",#2 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104726,#3 CYL NEEDS TO BE CHANGED (FAILED ).,"REMOVED AFT BAFFLE, INTAKE LINES (OIL & FUEL) & OIL COO",#3 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104726,#3 CYL NEEDS TO BE CHANGED (FAILED ).,"INSTALLED INTAKE TUBE, BAFFLES, CHT PROBE, WIRING & INJ",#3 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104728,#4 CYL NEEDS TO BE CHANGED (FAILED ).,"INSTALLED INTAKE TUBE, CHT PROBE, WIRING, INJECTOR LINE",#4 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104729,AFT R/H SCREW FOR BAFFLE BY DIPSTICK LOOSE.,TIGHTENED SCREW.,AFT RIGHT SCREW FOR BAFFLE BY DIPSTICK LOOSE.
104730,FWD BAFFLE SEAL WORN BY ENG INTAKE.,APPLIED SEALANT TO BAFFLE.,FORWARD BAFFLE SEAL WORN BY ENGINE INTAKE.
104731,EVIDENCE OF OIL LEAK ON PILOT SIDE OF ENGINE.,INSP & FOUND TO BE OLD OIL. CLEANED ENGINE.,EVIDENCE OF OIL LEAK ON PILOT SIDE OF ENGINE.
104732,"#1, 3 CYL BAFFLE TENSION CABLE BROKEN.",INSTALLED NEW TENSION CABLE.,"#1, 3 CYLINDER BAFFLE TENSION CABLE BROKEN."
104733,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,#4 INTAKE GASKET LEAKING.
104734,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,#3 INTAKE GASKET LEAKING.
104735,R/H BAFFLE TIE BROKEN.,REMOVED & REPLACED BAFFLE TIE.,RIGHT BAFFLE TIE BROKEN.
104736,#3 AFT BAFFLE ATTACH FITTING CRACKED.,REMOVED & REPLACED ATTACH FITTING.,#3 AFT BAFFLE ATTACH FITTING CRACKED.
104737,SCROLL NEEDS TO BE CLEANED.,CLEANED SCROLL.,SCROLL NEEDS TO BE CLEANED.
104738,L/H ENGINE BAFFLE DEFLECTOR CRACKED.,PATCHED BAFFLE.,LEFT ENGINE BAFFLE DEFLECTOR CRACKED.
104739,L/H ENGINE BAFFLE CRACKED.,REMOVED & REPLACED BAFFLE.,LEFT ENGINE BAFFLE CRACKED.
104740,#1 INTAKE TUBE NEEDS TO BE REPLACED.,INSTALLED INTAKE TUBE.,#1 INTAKE TUBE NEEDS TO BE REPLACED.
104741,#3 INTAKE TUBE NEEDS TO BE REPLACED.,INSTALLED INTAKE TUBE.,#3 INTAKE TUBE NEEDS TO BE REPLACED.
104742,R/H ENGINE BAFFLE DEFLECTOR CRACKED.,REPLACED BAFFLE DEFLECTOR.,RIGHT ENGINE BAFFLE DEFLECTOR CRACKED.
104743,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,SEALED BAFFLES.,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.
104743,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,REMOVED ENGINE FROM AIRFRAME.,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.
104743,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,WASHED FUSELAGE & BAFFLES. INSTALLED SCROLL & CLEANED.,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.
104743,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,"INSTALLED OIL COOLERS & LINES ON COOLERS, ADEL CLAMP &",ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.
104743,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,REMOVED & CLEANED BAFFLING FROM ENGINE. BEGAN TRANSFERR,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.
104743,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,INSTALLED STARTER FROM ORIGINAL ENGINE. REMOVED & CLEAN,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.
104743,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,REPLACED BAFFLE FELT. BEGAN INSTALLING ENGINE BAFFLING.,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.
104743,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,INSTALLED ENGINE ON AIRFRAME. BEGAN ROUTING FUEL LINES.,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.
104743,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,INSTALLED TOP BAFFLE & APPLIED SEALANT. INSTALLED & TOR,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.
104743,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.,COMPLETED ENGINE INSTALLATION. TOQRUED HANGER NUTS. CK',ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.
104753,"MANIFOLD PSI WAS HIGH IN HOVER, 26 IN. PERFORMED LOW ROTOR R",REMOVED & REPLACED ALL INTAKE GASKETS & SEALS.,"MANIFOLD PSI WAS HIGH IN HOVER, 26 IN. PERFORMED LOW ROTOR R"
104753,"MANIFOLD PSI WAS HIGH IN HOVER, 26 IN. PERFORMED LOW ROTOR R","RAN A/C, CONFIRMED KNOCKING NOISE FROM PASS DOWN. FOUND","MANIFOLD PSI WAS HIGH IN HOVER, 26 IN. PERFORMED LOW ROTOR R"
104755,CYL #2 REQUIRES NEW ROCKER COVER GASKET.,REMOVED & REPLACED GASKET W/ NEW.,CYLINDER #2 REQUIRES NEW ROCKER COVER GASKET.
104756,#1 INTAKE GASKET IS LEAKING.,REPLACED GASKET.,#1 INTAKE GASKET IS LEAKING.
104757,"#2, 3, 4 INTAKES LEAKING ON L/H ENGINE.",INSTALLED NEW GASKETS.,"#2, 3, 4 INTAKES LEAKING ON LEFT ENGINE."
104758,"#1, 2, 3 & 4 INTAKES LEAKING ON R/H ENGINE.",INSTALLED ALL NEW GASKETS.,"#1, 2, 3 & 4 INTAKES LEAKING ON RIGHT ENGINE."
104759,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,#3 INTAKE GASKET LEAKING.
104760,"UPON LEANING MIXTURE ON GROUND; ENGINE QUIT. RESTARTED, SPUT","RAN A/C, WARMED ENGINE FOR 5 MINUTES. ALL CHECKS GOOD.","UPON LEANING MIXTURE ON GROUND; ENGINE QUIT. RESTARTED, SPUT"
104761,#1 & 3 INTAKE GASKETS LEAKING.,INSTALLED NEW GASKETS.,#1 & 3 INTAKE GASKETS LEAKING.
104762,#2 & 3 INTAKE GASKETS LEAKING.,REMOVED & REPLACED GASKETS.,#2 & 3 INTAKE GASKETS LEAKING.
104763,L/H FWD ENG SEAL NEEDS RIVET.,INSTALLED NEW RIVET.,LEFT FORWARD ENGINE SEAL NEEDS RIVET.
104764,#4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,#4 INTAKE GASKET LEAKING.
104765,"FWD BLACK BAFFLE SEAL LOOSE, R/H LWR SIDE.",SECURED SEAL W/ RIVET.,"FORWARD BLACK BAFFLE SEAL LOOSE, RIGHT LOWER SIDE."
104766,#2 INTAKE TUBE GASKET LEAKING.,REMOVED & REPLACED GASKET.,#2 INTAKE TUBE GASKET LEAKING.
104767,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,#4 INTAKE LEAKING.
104768,#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.,"SERVICED ENG W/ 8 QTS MINERAL OIL. RAN A/C, OPS & LEAK",#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.
104768,#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.,REMOVED AIR INTAKE BOX. REMOVED MUFFLER & STACKS. REMOV,#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.
104768,#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.,INSTALLED REPAIRED CYLINDER ASSY W/ NEW BASE O-RING. TO,#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.
104768,#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.,REMOVED & REPLACED EXHAUST PUSH ROD W/ -29 PUSH ROD. EX,#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.
104772,"DURING A/C RUN UP, ENGINE FAILED ON RIGHT MAGNETO. ENGINE FA","STARTED ENGINE USING NORMAL PROCEDURES. RUN UP ENGINE,","DURING A/C RUN UP, ENGINE FAILED ON RIGHT MAGNETO. ENGINE FA"
104773,R/H BAFFLE PLUG REQUIRES A PATCH.,INSTALLED PATCH ON BAFFLING.,RIGHT BAFFLE PLUG REQUIRES A PATCH.
104774,#2 & 4 CYLINDER INTAKE GASKETS LEAKING.,REMOVED & REPLACED GASKETS.,#2 & 4 CYLINDER INTAKE GASKETS LEAKING.
104775,#2 CYL SIDE BAFFLE MISSING BOLT.,INSTALLED BOLT IN #2 CYL SIDE BAFFLE.,#2 CYLINDER SIDE BAFFLE MISSING BOLT.
104776,#3 ROCKER GASKET LEAKING.,REMOVED & REPLACED GASKET.,#3 ROCKER GASKET LEAKING.
104777,A/C IS BARELY CAPABLE OF A 1 FOOT HOVER @ LIMITING MANIFOLD,"INSPECTED INTAKE TUBES, GASKETS & O-RINGS, NO DEFECTS.",A/C IS BARELY CAPABLE OF A 1 FOOT HOVER @ LIMITING MANIFOLD
104778,A/C BEGAN TO LEAK LARGE QUANTITIES OF OIL OUT OF RIGHT COWLI,CLEANED A/C & ENGINE COMPARTMENT. FOUND OIL LEAKING FRO,A/C BEGAN TO LEAK LARGE QUANTITIES OF OIL OUT OF RIGHT COWLI
104779,ENGINE BACK FIRED WHILE IN A HOVER.,"PERFORMED GROUND RUN, ADJUSTED IDLE & MIXTURE SETTINGS,",ENGINE BACK FIRED WHILE IN A HOVER.
104779,ENGINE BACK FIRED WHILE IN A HOVER.,REPLACED CYL #1 INDUCTION TUBE & GASKETS. GROUND RUN RE,ENGINE BACK FIRED WHILE IN A HOVER.
104781,#3 INTAKE TUBE GASKET LEAKING.,REMOVED & REPLACED INTAKE GASKET.,#3 INTAKE TUBE GASKET LEAKING.
104782,BLACK SEAL WEARING AGAINST ENG INTAKE FILTER.,APPLIED BLACK RTV.,BLACK SEAL WEARING AGAINST ENGINE INTAKE FILTER.
104783,#3 INTAKE LEAKING ON R/H ENGINE.,REMOVED & REPLACED GASKET.,#3 INTAKE LEAKING ON RIGHT ENGINE.
104784,BLACK SEAL FOR FWD BAFFLE NEEDS RTV.,SEALED AREA W/ RTV.,BLACK SEAL FOR FORWARD BAFFLE NEEDS RTV.
104785,"SCREW FOR BAFFLE, BEHIND OIL DIPSTICK TUBE, LOOSE.",TIGHTENED SCREW.,"SCREW FOR BAFFLE, BEHIND OIL DIPSTICK TUBE, LOOSE."
104786,#1 & 3 INTAKES LEAK.,"REMOVED, CLEANED & REPLACED W/ NEW INTAKE GASKETS.",#1 & 3 INTAKES LEAK.
104787,#1 & 2 CYL INTAKE GASKETS LEAKING.,REMOVED & REPLACED GASKETS.,#1 & 2 CYLINDER INTAKE GASKETS LEAKING.
104788,#2 CYL ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.,#2 CYLINDER ROCKER COVER GASKET LEAKING.
104789,#2 ROCKER COVER LEAKING.,REMOVED & REPLACE GASKET.,#2 ROCKER COVER LEAKING.
104790,"ON CLIMB, NOTICED M VOLTS DROPPED TO 26, RPM WAS CONSTANT. O","RAN A/C, COULD NOT DUPLICATE.","ON CLIMB, NOTICED M VOLTS DROPPED TO 26, RPM WAS CONSTANT. O"
104791,#4 & 3 INTAKES LEAKING ON R/H ENGINE.,INSTALLED NEW INTAKE GASKETS.,#4 & 3 INTAKES LEAKING ON RIGHT ENGINE.
104792,"L/H ENGINE #3, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED W/ NEW GASKETS.,"LEFT ENGINE #3, 4 INTAKE GASKETS LEAKING."
104793,PATCH ON R/H UPPER BAFFLE HAS SMALL CRACK.,STOP DRILLED CRACK.,PATCH ON RIGHT UPPER BAFFLE HAS SMALL CRACK.
104794,"LWR ENG FWD BLACK BAFFLE SEAL, BY AIR FILTER, HAS WORN SPOTS",APPLIED 2 PART EPOXY.,"LOWER ENGINE FORWARD BLACK BAFFLE SEAL, BY AIR FILTER, HAS WORN SPOTS"
104795,#4 CYL BAFFLE PIECE DAMAGED.,REPLACED BAFFLE SECTION.,#4 CYLINDER BAFFLE PIECE DAMAGED.
104796,"HARDWARE ON BAFFLING, BY STARTER, MISSING.",REPLACED MISSING HARDWARE.,"HARDWARE ON BAFFLING, BY STARTER, MISSING."
104797,#2 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,#2 CYLINDER INTAKE GASKET LEAKING.
104798,"#1, 3 INTAKE GASKETS LEAKING.",REMOVED & REPLACED GASKETS.,"#1, 3 INTAKE GASKETS LEAKING."
104799,"#3, 4 ROCKER COVER GASKETS LEAKING.",REMOVED & REPLACED GASKETS.,"#3, 4 ROCKER COVER GASKETS LEAKING."
104800,BAFFLE SEAL STAPLES LOOSE ON #1 CYLINDER BAFFLE SECTION.,RESECURED BAFFLE SEAL W/ POP RIVETS.,BAFFLE SEAL STAPLES LOOSE ON #1 CYLINDER BAFFLE SECTION.
104801,#2-4 BAFFLE INTERCONNECT ROD BROKEN.,REMOVED & REPLACED INTERCONNECT ROD.,#2-4 BAFFLE INTERCONNECT ROD BROKEN.
104802,IN TRAFFIC PATTERN HEARD TICKING/CHIRPING NOISE. ONLY OCCURE,RAN A/C AT VARIOUS POWER SETTINGS. COULD NOT DUPLICATE,IN TRAFFIC PATTERN HEARD TICKING/CHIRPING NOISE. ONLY OCCURE
104803,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.,#2 INTAKE GASKET LEAKING.
104804,L/H ENG #4 INTAKE GASKET IS LEAKING.,REPLACED GASKET.,LEFT ENGINE #4 INTAKE GASKET IS LEAKING.
104805,#2 CYL ROCKER COVER GASKET LEAKING ON L/H ENGINE.,REMOVED & REPLACED GASKET.,#2 CYLINDER ROCKER COVER GASKET LEAKING ON LEFT ENGINE.
104806,"#2, 3, 4 INTAKE GASKETS LEAKING ON L/H ENGINE.",REMOVED & REPLACED W/ NEW GASKETS.,"#2, 3, 4 INTAKE GASKETS LEAKING ON LEFT ENGINE."
104807,L/H ENG #1 CYLINDER FWD BAFFLE SEAL NEEDS TO BE SECURED.,SECURED FWD BAFFLE SEAL.,LEFT ENGINE #1 CYLINDER FORWARD BAFFLE SEAL NEEDS TO BE SECURED.
104808,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,#4 INTAKE LEAKING.
104809,#1 ROCKER COVER LEAKING.,REMOVED & REPLACED GASKET.,#1 ROCKER COVER LEAKING.
104810,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,#2 INTAKE GASKET LEAKING.
104811,"L/H ENG, CYL #2 COMPRESSION 20/80; LEAKING OUT OF EXHAUST VA",LEAK CK GOOD.,"LEFT ENGINE, CYLINDER #2 COMPRESSION 20/80; LEAKING OUT OF EXHAUST VA"
104811,"L/H ENG, CYL #2 COMPRESSION 20/80; LEAKING OUT OF EXHAUST VA",REMOVED CYL ASSY & REPLACED W/ REPAIRED CYL ASSY. INSTA,"LEFT ENGINE, CYLINDER #2 COMPRESSION 20/80; LEAKING OUT OF EXHAUST VA"
104813,#3 INTAKE LEAKING ON R/H ENGINE.,REPLACED INTAKE GASKET.,#3 INTAKE LEAKING ON RIGHT ENGINE.
104814,"2, 3 & 4 INTAKES LEAKING ON L/H ENGINE.",REMOVED & REPLACED GASKETS.,"2, 3 & 4 INTAKES LEAKING ON LEFT ENGINE."
104815,BRACKET SUPPORT FOR ENG OIL COOLER BAFFLE CRACKED.,REPLACED BRACKET MADE OUT OF STAINLESS STEEL.,BRACKET SUPPORT FOR ENGINE OIL COOLER BAFFLE CRACKED.
104816,LEFT FRONT BAFFLING HAS A CRACK.,STOP DRILLED CRACK.,LEFT FRONT BAFFLING HAS A CRACK.
104817,CYL #4 AFT BAFFLE IS CRACKED.,STOP DRILLED.,CYLINDER #4 AFT BAFFLE IS CRACKED.
104818,L/H SIIDE OF ENGINE CASE PLUG LEAKING OIL.,OPS & LEAK CK GOOD.,LEFT SIIDE OF ENGINE CASE PLUG LEAKING OIL.
104818,L/H SIIDE OF ENGINE CASE PLUG LEAKING OIL.,"REMOVED PLUG, CLEANED THREAD. APPLIED NEW SEALANT & REI",LEFT SIIDE OF ENGINE CASE PLUG LEAKING OIL.
104820,#2 INTAKE GASKET LEAKING.,REPLACED GASKET.,#2 INTAKE GASKET LEAKING.
104821,#2 INTAKE IS LEAKING.,INSTALLED NEW GASKET.,#2 INTAKE IS LEAKING.
104822,"#1-3 BAFFLE TIE WIRE LOOSE, RUBBING #1 DRAIN TUBE.","INSTALLED NEW TIE WIRE, INSPECTED OIL DRAIN TUBE - NO D","#1-3 BAFFLE TIE WIRE LOOSE, RUBBING #1 DRAIN TUBE."
104823,"DURING FLIGHT, RPM EXCEEDED 2700 FOR A FEW SECONDS.",DOWNLOADED FLIGHT DATA. FOUND OVERSPEED TO BE MOMENTARY,"DURING FLIGHT, RPM EXCEEDED 2700 FOR A FEW SECONDS."
104824,#2 & 4 INTAKE GASKETS LEAKING.,REMOVED & REPLACED GASKETS.,#2 & 4 INTAKE GASKETS LEAKING.
104825,"ENGINE STARTED & IDLED NORMALLY FOR ABOUT 2 MINUTES, THEN SU","PERFORMED GROUND RUN, NO DEFECTS NOTED. OPS GOOD.","ENGINE STARTED & IDLED NORMALLY FOR ABOUT 2 MINUTES, THEN SU"
104825,"ENGINE STARTED & IDLED NORMALLY FOR ABOUT 2 MINUTES, THEN SU",INSPECTED A/C ENGINE. CLEANED BOTH SNIFFLER VALVES. REM,"ENGINE STARTED & IDLED NORMALLY FOR ABOUT 2 MINUTES, THEN SU"
104827,R/H ENGINE TOP BACK BONE SEEPING OIL.,RETORQUED TOP BACK BOLTS.,RIGHT ENGINE TOP BACK BONE SEEPING OIL.
104828,"#3, 4 INTAKE GASKETS LEAKING ON R/H ENGINE.",INSTALLED NEW GASKETS.,"#3, 4 INTAKE GASKETS LEAKING ON RIGHT ENGINE."
104829,R/H ENGINE TOP BACK BONE SEEPING OIL.,"PERFORMED GROUND RUN, LEAK CK'ED GOOD.",RIGHT ENGINE TOP BACK BONE SEEPING OIL.
104830,#3 CYL FWD BAFFLE PLUG MISSING.,INSTALLED NEW PLUG.,#3 CYLINDER FORWARD BAFFLE PLUG MISSING.
104831,"DURING RUN UP MAG CK; RPM DROPPED NORMALLY, BUT WOULD RISE &","RAN A/C, OPS CK GOOD. COULD NOT DUPLICATE DISPCREPANCY.","DURING RUN UP MAGNETOS CHECK; RPM DROPPED NORMALLY, BUT WOULD RISE &"
104832,L/H ENGINE #3 ROCKER COVER LEAKING.,REPLACED GASKET.,LEFT ENGINE #3 ROCKER COVER LEAKING.
104833,R/H ENGINE #3 ROCKER COVER LEAKING.,REPLACED GASKET.,RIGHT ENGINE #3 ROCKER COVER LEAKING.
104834,R/H ENGINE I/B BAFFLE TIE BROKEN.,REMOVED & REPLACED BAFFLE TIE.,RIGHT ENGINE I/B BAFFLE TIE BROKEN.
104835,PILOT REQUESTED START ASSIST.,STARTED A/C.,PILOT REQUESTED START ASSIST.
104836,#4 INTAKE IS LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,#4 INTAKE IS LEAKING.
104837,"R/H BAFFLE SPRING BROKEN, BAFFLE CHAFING ON #3 OIL RETURN LI",INSPECTED & FOUND TO BE OK FOR SERVICE.,"RIGHT BAFFLE SPRING BROKEN, BAFFLE CHAFING ON #3 OIL RETURN LI"
104838,#1 & 2 INTAKE GASKETS LEAKING.,REMOVED & REPLACED W/ NEW GASKETS.,#1 & 2 INTAKE GASKETS LEAKING.
104839,R/H ENG #4 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET.,RIGHT ENGINE #4 INTAKE GASKET LEAKING.
104840,"L/H ENG #2, 1 INTAKE GASKETS LEAKING.",REMOVED & REPLACED INTAKE GASKETS.,"LEFT ENGINE #2, 1 INTAKE GASKETS LEAKING."
104841,#1 & 4 INTAKES LEAKING.,REPLACED GASKETS.,#1 & 4 INTAKES LEAKING.
104842,PILOT REQUIRES START ASSIST.,STARTED A/C.,PILOT REQUIRES START ASSIST.
104842,PILOT REQUIRES START ASSIST.,STARTED A/C.,PILOT REQUIRES START ASSIST.
104844,PILOT REQUESTS IDLE ADJUSTMENT.,ADJUSTED IDLE SPEED.,PILOT REQUESTS IDLE ADJUSTMENT.
104845,LOWER OIL COOLER LINE RESTING ON ACCESSORY PLATE STUD.,REPOSITIONED LOWER OIL COOLER LINE.,LOWER OIL COOLER LINE RESTING ON ACCESSORY PLATE STUD.
104846,#3 & 4 CYL ROCKER COVERS LEAKING.,REMOVED & REPLACED GASKETS.,#3 & 4 CYLINDER ROCKER COVERS LEAKING.
104847,SCREW MISSING ON #2 CYL BAFFLE & STAND OFF.,INSTALLED SCREW & WASHER.,SCREW MISSING ON #2 CYLINDER BAFFLE & STAND OFF.
104848,OIL COOLER LOWER FITTING IS LOOSE.,LEAK CK GOOD.,OIL COOLER LOWER FITTING IS LOOSE.
104849,R/H FWD BAFFLE SEAL LOOSE.,RESECURED BAFFLE SEAL.,RIGHT FORWARD BAFFLE SEAL LOOSE.
104850,OIL COOLER LOWER FITTING IS LOOSE.,TIGHTENED FITTING.,OIL COOLER LOWER FITTING IS LOOSE.
104851,#2 INTAKE GASKET LEAKING.,REMOVED & REPLACED GASKET W/ NEW.,#2 INTAKE GASKET LEAKING.
104852,LOWER OIL COOLER OIL LINE NEEDS TO BE REPOSITIONED.,LEAK CK GOOD.,LOWER OIL COOLER OIL LINE NEEDS TO BE REPOSITIONED.
104852,LOWER OIL COOLER OIL LINE NEEDS TO BE REPOSITIONED.,REPOSITIONED LINE.,LOWER OIL COOLER OIL LINE NEEDS TO BE REPOSITIONED.
104854,#2 & 4 CYL I/B BAFFLE WIRE IS OUTSIDE INNER CYL BAFFLE.,REPOSITIONED WIRE.,#2 & 4 CYLINDER I/B BAFFLE WIRE IS OUTSIDE INNER CYLINDER BAFFLE.
104855,#4 INTAKE LEAKING.,REMOVED & REPLACED GASKET.,#4 INTAKE LEAKING.
104856,MX FLIGHT REQUIRED FOR M/R LEAK.,COMPLETED REMOVAL OF ENGINE FROM A/C. BEGAN DISCONNECTI,MAINTENANCE FLIGHT REQUIRED FOR M/R LEAK.
104856,MX FLIGHT REQUIRED FOR M/R LEAK.,INSTALLED & CONNECTED ENGINE IAW,MAINTENANCE FLIGHT REQUIRED FOR M/R LEAK.
104858,"#2, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED GASKETS.,"#2, 4 INTAKE GASKETS LEAKING."
104859,FRONT BLACK SEAL FOR ENG COWL NEEDS RTV FOR WORN SPOTS.,RTV APPLIED WHERE NEEDED.,FRONT BLACK SEAL FOR ENGINE COWL NEEDS RTV FOR WORN SPOTS.
104860,"CHT GAUGE DROPS TO ZERO, MOVES ERRATICALLY W/IN GREEN BAND &","REMOVED & REPLACED CHT PROBE. GROUND RAN A/C, OPS CK GO","CYLINDER HEAD TEMPERATURE GAUGE DROPS TO ZERO, MOVES ERRATICALLY WITHIN GREEN BAND &"
104861,RIVET PULLED THROUGH ON #4 CYLINDER BAFFLE SEAL.,INSTALLED NEW POP RIVET IN SEAL.,RIVET PULLED THROUGH ON #4 CYLINDER BAFFLE SEAL.
104862,BAFFLE SEAL SECTION BY AIR FILTER NEEDS REPAIR.,REPAIRED SEAL SECTION W/ SILICONE & NEW POP RIVETS.,BAFFLE SEAL SECTION BY AIR FILTER NEEDS REPAIR.
104863,#1 CYL INTAKE LEAKS.,REPLACED GASKET.,#1 CYLINDER INTAKE LEAKS.
104864,"SCREW, BEHIND OIL DIPSTICK FOR BAFFLE, LOOSE.",TIGHTENED SCREW.,"SCREW, BEHIND OIL DIPSTICK FOR BAFFLE, LOOSE."
104865,FRONT SEAL LOOSE & HAS WORN SPOTS (BAFFLE SEAL).,SECURED SEAL & PUT RTV AT WORN SPOTS.,FRONT SEAL LOOSE & HAS WORN SPOTS (BAFFLE SEAL).
104866,"#3, 4 INTAKE GASKETS LEAKING.",REMOVED & REPLACED W/ NEW GASKETS.,"#3, 4 INTAKE GASKETS LEAKING."
104867,BAFFLE BRACKET CRACKED ON #3 CYLINDER.,REMOVED BAFFLE SECTION & OIL PRESSURE LINE. REPLACED BR,BAFFLE BRACKET CRACKED ON #3 CYLINDER.
104868,#2 CYLINDER HAS LOW COMPRESSION (58/80).,RAN UP A/C TO OPERATING TEMPERATURE & RECHECKED COMPRES,#2 CYLINDER HAS LOW COMPRESSION (58/80).
104869,SCREW MISSING FROM R/H AFT BAFFLE.,INSTALLED NEW SCREW.,SCREW MISSING FROM RIGHT AFT BAFFLE.
104870,#3 CYL INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW INTAKE GASKET.,#3 CYLINDER INTAKE GASKET LEAKING.
104871,#3 & 4 INTAKES LEAKING.,REMOVED & REPLACED INTAKE GASKETS.,#3 & 4 INTAKES LEAKING.
104872,BAFFLE BY STARTER WORN THROUGH & CRACKED.,REMOVED L/H FWD BAFFLE & FABRICATED PATCH FROM LIKE MAT,BAFFLE BY STARTER WORN THROUGH & CRACKED.
104873,#2 ROCKER COVER GASKET LEAKING.,REMOVED & REPLACED GASKET.,#2 ROCKER COVER GASKET LEAKING.
104874,#2 INTAKE IS LEAKING.,REMOVED & REPLACED GASKET.,#2 INTAKE IS LEAKING.
104875,#3 INTAKE GASKET LEAKING.,REMOVED & REPLACED W/ NEW GASKET.,#3 INTAKE GASKET LEAKING.
104876,SCREW MISSING ON #1 CYLINDER BAFFLE SECTION.,REPLACED W/ NEW SCREW.,SCREW MISSING ON #1 CYLINDER BAFFLE SECTION.
