IDENT,DESAB
104522,#3 INTAKE GASKET LEAKING ON RIGHT ENGINE.
104523,"#3, 4 INTAKE GASKETS LEAKING ON LEFT ENGINE."
104524,ALL 4 INTAKES LEAKING.
104525,#2 INTAKE GASKET IS LEAKING.
104526,"#2, 3 INTAKE ON RIGHT ENGINE LEAKING."
104527,"#3 ROCKER GASKET LEAKS, RIGHT ENGINE."
104528,#2 CYLINDER BAFFLING SEAL UNSECURED ON RIGHT ENGINE.
104529,"LEFT ENGINE #2, 3 & 4 INTAKE TUBE GASKETS LEAKING."
104530,RIGHT ENGINE #2 & 3 INTAKE TUBE GASKETS LEAKING.
104531,ROCKER COVER SCREW IS MISSING.
104532,HARDWARE MISSING ON #3 BAFFLE.
104533,#1 & 3 SIDE BAFFLE CRACKED.
104534,#2 & 4 CYLINDER DEFLECTOR CRACKED.
104535,#4 CYLINDER EXHAUST PUSH TUBE HAS DENT.
104536,ALL ENGINE BAFFLING FELT SEALS DAMAGED & ABRASION BUFFER PAD
104537,#2 & 4 ROCKER COVERS ARE LEAKING.
104538,"#2, 3, 4 ROCKER GASKETS LEAKING."
104539,INTAKES 2 & 3 LEAKING ON LEFT ENGINE.
104540,#1 ROCKER COVER LEAKING ON LEFT ENGINE.
104541,#3 & 4 INTAKES LEAKING ON RIGHT ENGINE.
104542,LEFT ENGINE 1ST STAGE COMPRESSOR BLADE IS NICKED.
104543,BREATHER TUBE BLOCKED
104544,COULD NOT START LEFT ENGINE.
104545,"WHEN LEANING OUT ENGINE, ENGINE WOULD QUIT & DIE"
104546,START ASSIST NEEDED.
104547,#3 INTAKE GASKET LEAKING.
104548,#1 INTAKE LEAKING.
104549,#3 ROCKER GASKET IS LEAKING.
104550,#2 INTAKE LEAKING.
104551,"LEFT ENGINE #2, 3, 4 INTAKE GASKETS ARE LEAKING."
104552,RIGHT ENGINE ALL 4 INTAKE GASKETS ARE LEAKING.
104553,RPM REACHED 2770 IN FLIGHT FOR A FEW SECONDS.
104554,"INITIALLY AFTER TAKE OFF, ON CLIMBOUT; EXPERIENCED SUDDEN LO"
104555,#2 INTAKE LEAKING.
104556,ROCKER COVERS 1 & 3 LEAKING.
104557,#2 INTAKE IS LEAKING.
104558,#4 ROCKER COVER LEAKS.
104559,#2 INTAKE GASKET IS LEAKING.
104560,#2 SIDE BAFFLE SEAL IS LOOSE.
104561,#4 INTAKE LEAKING.
104562,"#3 INTAKE GASKET LEAKING, RIGHT ENGINE."
104563,"#1 ROCKER COVER GASKET LEAKING, RIGHT ENGINE."
104564,"2, 3, 4 INTAKES ARE LEAKING ON LEFT ENGINE."
104565,2 BAFFLE TIE RODS BROKEN.
104566,"#1 CYLINDER EXHAUST VALVE FAILED  (EX CLEARANCE .033"")."
104567,"#2 CYLINDER EXHAUST VALVE FAILED  (EX CLEARNACE .035"")."
104568,"#3 CYLINDER EXHAUST VALVE FAILED  (EX CLEARNACE .034"")."
104569,"#2 CYLINDER EXHAUST VALVE FAILED  (EX CLEARNACE .035"")."
104570,"#4 CYLINDER EXHAUST VALVE FAILED  (EX CLEARNACE .033"")."
104571,"#1 CYLINDER EXHAUST VALVE FAILED  (EX CLEARANCE .033"")."
104573,"#2 CYLINDER EXHAUST VALVE FAILED  (EX CLEARNACE .035"")."
104574,"#3 CYLINDER EXHAUST VALVE FAILED  (EX CLEARNACE .034"")."
104575,"#4 CYLINDER EXHAUST VALVE FAILED  (EX CLEARNACE .033"")."
104576,#4 INTAKE LEAKING.
104577,#4 ROCKER GASKET LEAKING.
104578,#4 INTAKE GASKET IS LEAKING.
104579,#3 ROCKER COVER LEAKING.
104580,#2 INTAKE GASKET LEAKING.
104581,#2 INTAKE TUBE GASKET LEAKING.
104582,#2 LOWER INTAKE CLAMP LOOSE.
104583,#4 INTAKE LEAKING.
104584,SCREW MISSING ON BACK OF #3 BAFFLE.
104585,OIL FOUND NEAR CYLINDER #2 & 4 INTAKE TUBES.
104586,RIGHT BAFFLE PLUG NEEDS TO BE REPLACED.
104587,#3 INTAKE TUBE GASKET LEAKING.
104588,#2 INTAKE IS LEAKING.
104589,ENGINE DIRTY.
104590,OIL SEEPING FROM TOP OF CASE HALVES.
104592,#3 REAR BAFFLE MOUNTING BRACKET CRACKED.
104593,#2 & 3 ROCKER COVERS LEAKING.
104594,"LEFT ENGINE #3, 4 INTAKE GASKETS LEAKING."
104595,"DURING CRUISE, THERE WAS A LOUD BANG. DURING WHICH ALTIMETER"
104596,#1 INTAKE GASKET IS LEAKING.
104597,SNIFFLER VALVES DIRTY.
104598,MIDDLE & RIGHT ENGINE COWL NEED NEW CHAFE TAPE.
104599,ENGINE SURGING ON LAST CLIMB OUT CROSSING 1300 MSL.
104600,BAFFLE SEAL ON #1 CYLINDER NEEDS TO BE SECURED.
104601,#1 INTAKE GASKET LEAKING.
104602,#4 INTAKE GASKET LEAKING.
104603,HARD LANDING REPORTED BY TOWER.
104604,"LEFT MAGNETOS, LOWER STUD PULLED OUT FROM CASE."
104605,UPPER EXHAUST SHROUD DOES NOT ALIGN W/ LOWER SHROUD.
104606,#2 INTAKE TUBE GASKET LEAKING.
104607,#2 INTAKE GASKET LEAKING.
104608,#2 CYLINDER ROCKER GASKET LEAKING.
104609,RIGHT FORWARD ENGINE BAFFLE BOLT NEEDS TO BE SAFETIED.
104610,FRONT ENGINE SEAL (BLACK) ABOVE AIR INTAKE WORN SPOTS.
104611,"LEFT ENGINE, RIGHT FORWARD BAFFLE LOOSE."
104612,#4 CYLINDER ON RIGHT ENGINE BAFFLE SEAL NEEDS TO BE REPLACED.
104613,#1 & 4 ROCKER BOX COVERS SEEPING ON LEFT ENGINE.
104614,#4 CYLINDER ON RIGHT ENGINE BAFFLE SEALS NEED TO BE SECURED.
104615,#2 INTAKE LEAKING.
104616,#1 ROCKER COVER LEAKING.
104617,#2 & 3 INTAKE GASKETS LEAKING.
104618,CYLINDER #2 INTAKE GASKET IS LEAKING.
104619,"#3, 4 PISTON PINS DAMAGED DURING REMOVAL."
104620,"#1, 3 INTAKE PUSH ROD TOO LONG."
104621,INSPECTED & FOUND CRANKSHAFT TO BE GOUGED BEHIND CRANKSHAFT
104628,#2 & 3 INTAKES LEAKING.
104629,#4 INTAKE IS LEAKING.
104630,RIGHT ENGINE #3 CYLINDER HAS NO COMPRESSION.
104632,"#1, 2 & 4 INTAKE GASKETS ARE LEAKING (RIGHT ENGINE)."
104633,RIGHT ENGINE #3 CYLINDER HAS NO COMPRESSION.
104635,"LEFT ENGINE, LEFT REAR BAFFLE SECTION NEEDS REPAIR."
104636,RIGHT NACELLE VENT HAS BENT FLANGE.
104637,RIGHT ENGINE FIREWALL HAS SMALL MARKS BEHIND START/GEN COOLING TU
104638,LEFT ENGINE #3 AFT BAFFLE HAS CRACK.
104639,#2 & 3 INTAKES LEAKING ON LEFT ENGINE.
104640,RIGHT ENGINE #4 INTAKE TUBE IS CRACKED.
104641,"INTAKES 2, 3 & 4 LEAKING ON RIGHT ENGINE."
104642,ENGINE BAFFLE PLUGS WORN.
104643,#2 & 4 INTAKES LEAKING.
104644,#4 INTAKE GASKET LEAKING.
104645,#2 ROCKER COVER GASKET LEAKING.
104646,ALL ROCKER COVERS ARE LEAKING.
104647,"WHILE IN LEVEL FLIGHT, AFTER PERFORMING A FEW HIGH POWER MANUAL"
104650,"#2, 4 INTAKE GASKETS LEAKING."
104651,RIGHT REAR ENGINE BAFFLE MOUNT LOOSE.
104652,BOLT LEAKING ON TOP OF CASE HALVES.
104654,INTAKES 3 & 4 LEAKING ON RIGHT ENGINE.
104655,"INTAKES 2, 3 & 4 LEAKING ON LEFT ENGINE."
104656,#4 & 2 INTAKE GASKET LEAKING.
104657,#4 ROCKER COVER GASKET LEAKING.
104658,IDLE RPM LOW.
104659,#3 ROCKER COVER GASKET LEAKING.
104660,UPPER OIL LINE TO OIL COOLER ADEL CLAMP BROKEN.
104661,ON START; HEARD A CLICK AS MAGS TRIED TO TURN OVER.
104662,SNIFFLER VALVES NEED TO BE CLEANED.
104663,#2 & 4 CYLINDER INTAKE GASKETS LEAKING.
104664,RIGHT ENGINE BAFFLE COVER CAM LOCK NEEDS TO BE FIXED.
104665,#4 INTAKE LEAKS ON RIGHT ENGINE.
104666,NOSE LANDING GEAR DOWN LOCK AFT TRUNNION BOLT LOOSE ON RIGHT.
104667,"INTAKES 2, 3 & 4 LEAKING ON LEFT ENGINE."
104668,SNIFFLER VALVES DIRTY.
104669,#3 INTAKE LEAKING ON RIGHT ENGINE.
104670,"INTAKES 2, 3 & 4 LEAKING ON LEFT ENGINE."
104671,"DURING PREFLIGHT, WHEN ENGINE COVER WAS REMOVED, OIL OBSERVE"
104672,FRONT BAFFLE SEAL TORN.
104673,LEFT ENGINE FAILED 3 TIMES AFTER COMING TO A STOP AFTER LANDING.
104674,RIGHT REAR BAFFLE INSP HOLE WORN.
104675,#3 INTAKE GASKET LEAKING.
104676,#4 INTAKE LEAKS.
104677,BLACK FORWARD COWL (ENGINE) SEAL WORN BY INTAKE FILTER.
104678,END OF FLIGHT; ENGINE OVERSPEED 3350 THEN TO PARKING.
104679,#2 & 4 INTAKES LEAKING ON LEFT ENGINE.
104680,RIGHT ENGINE W/ SUSTAINED OVERSPEED GENERALLY AROUND 2720. A
104681,RIGHT ENGINE HAS OIL LEAK ON LIFT BOLT.
104682,MIXTURE NEEDS TO BE RESET.
104683,#2 CYLINDER INTAKE O-RING UNSEATED.
104684,#4 INTAKE LEAKING.
104685,BOTH BAFFLE PLUGS DAMAGED.
104686,#3 INTAKE GASKET LEAKING.
104687,"#1, 2 & 3 INTAKE TUBE GASKETS LEAKING."
104688,BLACK SEAL FOR ENGINE WORN AT INTAKE.
104689,#1 CYLINDER EXHAUST VALVE FAILED .
104690,#4 CYLINDER EXHAUST VALVE FAILED .
104691,#1 CYLINDER EXHAUST VALVE FAILED .
104693,#4 CYLINDER EXHAUST VALVE FAILED .
104695,2 & 3 INTAKES LEAKING.
104696,#4 CYLINDER FAILED .
104698,#3 CYLINDER INTAKE LEFT ENGINE LEAKS.
104699,LEFT ENGINE #2 CYLINDER HAS LOW COMPRESSION.
104705,#2 INTAKE LEAKING.
104706,"#2, 3 & 4 INTAKE GASKETS LEAKING."
104707,SCREW FOR ENGINE BAFFLE BEHIND OIL DIPSTICK TUBE LOOSE.
104708,#2 INTAKE LEAKING ON LEFT ENGINE.
104709,#3 & 4 INTAKES LEAKING ON RIGHT ENGINE.
104710,#2 CYLINDER BAFFLE MISSING SCREW.
104711,#3 & 4 INTAKE GASKETS ARE LEAKING.
104712,#4 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104713,#3 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104714,CYLINDER #4 EXHAUST VALVE LASH IS EXCESSIVE.
104715,"CYLINDER #2, 3, 1 CYLINDER HEAD TEMPERATURE RECEPTICLES REQUIRE REPLACEMENT."
104716,CYLINDER #2 INTAKE ROCKER ARM REQUIRES REPLACEMENT.
104717,#2 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104718,#4 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104719,#1 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104720,#2 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104721,#3 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104722,#4 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104723,#1 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104725,#2 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104726,#3 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104728,#4 CYLINDER NEEDS TO BE CHANGED (FAILED ).
104729,AFT RIGHT SCREW FOR BAFFLE BY DIPSTICK LOOSE.
104730,FORWARD BAFFLE SEAL WORN BY ENGINE INTAKE.
104731,EVIDENCE OF OIL LEAK ON PILOT SIDE OF ENGINE.
104732,"#1, 3 CYLINDER BAFFLE TENSION CABLE BROKEN."
104733,#4 INTAKE GASKET LEAKING.
104734,#3 INTAKE GASKET LEAKING.
104735,RIGHT BAFFLE TIE BROKEN.
104736,#3 AFT BAFFLE ATTACH FITTING CRACKED.
104737,SCROLL NEEDS TO BE CLEANED.
104738,LEFT ENGINE BAFFLE DEFLECTOR CRACKED.
104739,LEFT ENGINE BAFFLE CRACKED.
104740,#1 INTAKE TUBE NEEDS TO BE REPLACED.
104741,#3 INTAKE TUBE NEEDS TO BE REPLACED.
104742,RIGHT ENGINE BAFFLE DEFLECTOR CRACKED.
104743,ENGINE NEEDS TO BE REMOVED FOR METAL FOUND IN OIL.
104753,"MANIFOLD PSI WAS HIGH IN HOVER, 26 IN. PERFORMED LOW ROTOR R"
104755,CYLINDER #2 REQUIRES NEW ROCKER COVER GASKET.
104756,#1 INTAKE GASKET IS LEAKING.
104757,"#2, 3, 4 INTAKES LEAKING ON LEFT ENGINE."
104758,"#1, 2, 3 & 4 INTAKES LEAKING ON RIGHT ENGINE."
104759,#3 INTAKE GASKET LEAKING.
104760,"UPON LEANING MIXTURE ON GROUND; ENGINE QUIT. RESTARTED, SPUT"
104761,#1 & 3 INTAKE GASKETS LEAKING.
104762,#2 & 3 INTAKE GASKETS LEAKING.
104763,LEFT FORWARD ENGINE SEAL NEEDS RIVET.
104764,#4 INTAKE GASKET LEAKING.
104765,"FORWARD BLACK BAFFLE SEAL LOOSE, RIGHT LOWER SIDE."
104766,#2 INTAKE TUBE GASKET LEAKING.
104767,#4 INTAKE LEAKING.
104768,#4 CYLINDER COMPRESSION BELOW 40 PSI. LEAKING PAST EXHAUST.
104772,"DURING A/C RUN UP, ENGINE FAILED ON RIGHT MAGNETO. ENGINE FA"
104773,RIGHT BAFFLE PLUG REQUIRES A PATCH.
104774,#2 & 4 CYLINDER INTAKE GASKETS LEAKING.
104775,#2 CYLINDER SIDE BAFFLE MISSING BOLT.
104776,#3 ROCKER GASKET LEAKING.
104777,A/C IS BARELY CAPABLE OF A 1 FOOT HOVER @ LIMITING MANIFOLD
104778,A/C BEGAN TO LEAK LARGE QUANTITIES OF OIL OUT OF RIGHT COWLI
104779,ENGINE BACK FIRED WHILE IN A HOVER.
104781,#3 INTAKE TUBE GASKET LEAKING.
104782,BLACK SEAL WEARING AGAINST ENGINE INTAKE FILTER.
104783,#3 INTAKE LEAKING ON RIGHT ENGINE.
104784,BLACK SEAL FOR FORWARD BAFFLE NEEDS RTV.
104785,"SCREW FOR BAFFLE, BEHIND OIL DIPSTICK TUBE, LOOSE."
104786,#1 & 3 INTAKES LEAK.
104787,#1 & 2 CYLINDER INTAKE GASKETS LEAKING.
104788,#2 CYLINDER ROCKER COVER GASKET LEAKING.
104789,#2 ROCKER COVER LEAKING.
104790,"ON CLIMB, NOTICED M VOLTS DROPPED TO 26, RPM WAS CONSTANT. O"
104791,#4 & 3 INTAKES LEAKING ON RIGHT ENGINE.
104792,"LEFT ENGINE #3, 4 INTAKE GASKETS LEAKING."
104793,PATCH ON RIGHT UPPER BAFFLE HAS SMALL CRACK.
104794,"LOWER ENGINE FORWARD BLACK BAFFLE SEAL, BY AIR FILTER, HAS WORN SPOTS"
104795,#4 CYLINDER BAFFLE PIECE DAMAGED.
104796,"HARDWARE ON BAFFLING, BY STARTER, MISSING."
104797,#2 CYLINDER INTAKE GASKET LEAKING.
104798,"#1, 3 INTAKE GASKETS LEAKING."
104799,"#3, 4 ROCKER COVER GASKETS LEAKING."
104800,BAFFLE SEAL STAPLES LOOSE ON #1 CYLINDER BAFFLE SECTION.
104801,#2-4 BAFFLE INTERCONNECT ROD BROKEN.
104802,IN TRAFFIC PATTERN HEARD TICKING/CHIRPING NOISE. ONLY OCCURE
104803,#2 INTAKE GASKET LEAKING.
104804,LEFT ENGINE #4 INTAKE GASKET IS LEAKING.
104805,#2 CYLINDER ROCKER COVER GASKET LEAKING ON LEFT ENGINE.
104806,"#2, 3, 4 INTAKE GASKETS LEAKING ON LEFT ENGINE."
104807,LEFT ENGINE #1 CYLINDER FORWARD BAFFLE SEAL NEEDS TO BE SECURED.
104808,#4 INTAKE LEAKING.
104809,#1 ROCKER COVER LEAKING.
104810,#2 INTAKE GASKET LEAKING.
104811,"LEFT ENGINE, CYLINDER #2 COMPRESSION 20/80; LEAKING OUT OF EXHAUST VA"
104813,#3 INTAKE LEAKING ON RIGHT ENGINE.
104814,"2, 3 & 4 INTAKES LEAKING ON LEFT ENGINE."
104815,BRACKET SUPPORT FOR ENGINE OIL COOLER BAFFLE CRACKED.
104816,LEFT FRONT BAFFLING HAS A CRACK.
104817,CYLINDER #4 AFT BAFFLE IS CRACKED.
104818,LEFT SIIDE OF ENGINE CASE PLUG LEAKING OIL.
104820,#2 INTAKE GASKET LEAKING.
104821,#2 INTAKE IS LEAKING.
104822,"#1-3 BAFFLE TIE WIRE LOOSE, RUBBING #1 DRAIN TUBE."
104823,"DURING FLIGHT, RPM EXCEEDED 2700 FOR A FEW SECONDS."
104824,#2 & 4 INTAKE GASKETS LEAKING.
104825,"ENGINE STARTED & IDLED NORMALLY FOR ABOUT 2 MINUTES, THEN SU"
104827,RIGHT ENGINE TOP BACK BONE SEEPING OIL.
104828,"#3, 4 INTAKE GASKETS LEAKING ON RIGHT ENGINE."
104829,RIGHT ENGINE TOP BACK BONE SEEPING OIL.
104830,#3 CYLINDER FORWARD BAFFLE PLUG MISSING.
104831,"DURING RUN UP MAGNETOS CHECK; RPM DROPPED NORMALLY, BUT WOULD RISE &"
104832,LEFT ENGINE #3 ROCKER COVER LEAKING.
104833,RIGHT ENGINE #3 ROCKER COVER LEAKING.
104834,RIGHT ENGINE I/B BAFFLE TIE BROKEN.
104835,PILOT REQUESTED START ASSIST.
104836,#4 INTAKE IS LEAKING.
104837,"RIGHT BAFFLE SPRING BROKEN, BAFFLE CHAFING ON #3 OIL RETURN LI"
104838,#1 & 2 INTAKE GASKETS LEAKING.
104839,RIGHT ENGINE #4 INTAKE GASKET LEAKING.
104840,"LEFT ENGINE #2, 1 INTAKE GASKETS LEAKING."
104841,#1 & 4 INTAKES LEAKING.
104842,PILOT REQUIRES START ASSIST.
104844,PILOT REQUESTS IDLE ADJUSTMENT.
104845,LOWER OIL COOLER LINE RESTING ON ACCESSORY PLATE STUD.
104846,#3 & 4 CYLINDER ROCKER COVERS LEAKING.
104847,SCREW MISSING ON #2 CYLINDER BAFFLE & STAND OFF.
104848,OIL COOLER LOWER FITTING IS LOOSE.
104849,RIGHT FORWARD BAFFLE SEAL LOOSE.
104850,OIL COOLER LOWER FITTING IS LOOSE.
104851,#2 INTAKE GASKET LEAKING.
104852,LOWER OIL COOLER OIL LINE NEEDS TO BE REPOSITIONED.
104854,#2 & 4 CYLINDER I/B BAFFLE WIRE IS OUTSIDE INNER CYLINDER BAFFLE.
104855,#4 INTAKE LEAKING.
104856,MAINTENANCE FLIGHT REQUIRED FOR M/R LEAK.
104858,"#2, 4 INTAKE GASKETS LEAKING."
104859,FRONT BLACK SEAL FOR ENGINE COWL NEEDS RTV FOR WORN SPOTS.
104860,"CYLINDER HEAD TEMPERATURE GAUGE DROPS TO ZERO, MOVES ERRATICALLY WITHIN GREEN BAND &"
104861,RIVET PULLED THROUGH ON #4 CYLINDER BAFFLE SEAL.
104862,BAFFLE SEAL SECTION BY AIR FILTER NEEDS REPAIR.
104863,#1 CYLINDER INTAKE LEAKS.
104864,"SCREW, BEHIND OIL DIPSTICK FOR BAFFLE, LOOSE."
104865,FRONT SEAL LOOSE & HAS WORN SPOTS (BAFFLE SEAL).
104866,"#3, 4 INTAKE GASKETS LEAKING."
104867,BAFFLE BRACKET CRACKED ON #3 CYLINDER.
104868,#2 CYLINDER HAS LOW COMPRESSION (58/80).
104869,SCREW MISSING FROM RIGHT AFT BAFFLE.
104870,#3 CYLINDER INTAKE GASKET LEAKING.
104871,#3 & 4 INTAKES LEAKING.
104872,BAFFLE BY STARTER WORN THROUGH & CRACKED.
104873,#2 ROCKER COVER GASKET LEAKING.
104874,#2 INTAKE IS LEAKING.
104875,#3 INTAKE GASKET LEAKING.
104876,SCREW MISSING ON #1 CYLINDER BAFFLE SECTION.
104877,#3 ROCKER GASKET IS LEAKING.
104878,OIL COOLER BOLT REMOVED
104879,LEFT ENGINE I/B FORWARD BAFFLE SCREW LOOSE.
104880,LEFT ENGINE OIL COOLER BAFFLE CORNER NEEDS TO BE INSP. REMOVE FO
104881,BAFFLE SEAL ON RIGHT FRONT CYLINDER NEEDS TO BE REPLACED.
104882,LEFT #3 & 4 INTAKE GASKETS LEAKING.
104883,ENGINE INTAKE BOOT TORN.
104884,#4 CYLINDER INTAKE GASKET LEAKING.
104885,"#2, 4 INTAKE GASKETS ARE LEAKING."
104886,ENGINE SHAKING & ROUGHNESS ON START UP.
104887,#2 & 4 INTAKES LEAKING.
104888,#3 CYLINDER HAS LOW COMPRESSION.
104889,BAFFLE PLUGS WORN.
104890,RIGHT BAFFLE PLUG HOLE NEEDS DOUBLER.
104891,#4 CYLINDER OIL DRAIN LINE CLAMPS LOOSE.
104892,#2 CYLINDER INTAKE GASKET LEAKING.
104893,CYLINDER #3 COMPRESSION 18/80.
104896,TOP OIL COOLER HOSE KINKED & NOT SECURED.
104897,LEFT ENGINE #1 & 3 CYLINDER BAFFLE ROD LOOSE.
104898,#3 CYLINDER BAFFLE SCREW LOOSE.
104899,LEFT BAFFLE LOOSE (#2 CYLINDER BAFFLE SEAL).
104900,#3 INTAKE LEAKING.
104901,"RIGHT ENGINE #2, 4 INTAKE GASKETS LEAKING."
104902,#3 INTAKE GASKET LEAKING.
104903,BAFFLE PLUG IS BROKEN.
104904,RIGHT ENGINE BAFFLE SEAL LOOSE ON BOTTOM CORNER.
104905,"ANGLE BROKEN, LEFT LOWER COWL O/B, NEAR FORWARD LATCH/PIN HOLE."
104906,#2 & 3 ROCKER COVER GASKETS LEAKING.
104907,STARTED ENGINE & IT RAN WELL FOR ABOUT 30 SECONDS BEFORE LOS
104911,#3 AFT BAFFLE SCREW IS LOOSE.
104912,LEFT ENGINE BAFFLE ACCESS HOLE ELONGATED.
104913,#2 & 4 ROCKER COVER LEAKING.
104914,PROP COULD USE A DRESSING; ROUGH ON EDGES.  CYLINDER HEAD TEMPERATURE #4 GREATER T
104915,#2 INTAKE GASKET LEAKING.
104916,#2 INTAKE LEAKING.
104917,"#2, 4 ROCKER COVER GASKETS LEAKING."
104919,"#2, 3 INTAKE GASKETS LEAKING."
104920,RIGHT #3 INTAKE GASKET LEAKING.
104921,#1 INTAKE IS LEAKING.
104922,PROP OVERSPEED 2720 FOR 1 SECOND.
104923,#3 CYLINDER CYLINDER HEAD TEMPERATURE >200*F WARMER THAN OTHER CYLINDERS.
104924,#1 INTAKE TUBE GASKET LEAKING.
104925,#3 ENGINE BAFFLE MOUNTING SCREW LOOSE.
104926,RIGHT BAFFLE PLUG IS MISSING.
104927,RIGHT BAFFLE PLUG NEEDS PATCH.
104928,FORWARD ENGINE BLACK SEAL WORN AT ENGINE INDUCTION.
104929,#3 & 4 INTAKE GASKETS ARE LEAKING.
104930,SIDE BAFFLE PLUG HOLES ARE WORN OUT.
104931,#3 INTAKE GASKET LEAKING.
104932,#3 AFT BAFFLE BRACKET IS CRACKED.
104933,LEFT ENGINE #4 INTAKE LEAKING.
104934,BAFFLE SCREW MISSING ON #2 CYLINDER BAFFLE SECTION.
104935,AT LEAST 3 INSTANCES THROUGHOUT FLIGHT; THE ENGINE VIBRATED
104937,ENGINE STARTED FINE & RAN AT 1000 RPM. WENT TO LEAN ENGINE &
104938,#3 INTAKE LEAKING.
104939,#2 & 3 ROCKER COVER GASKETS NEED TO BE REPLACED.
104940,#3 INTAKE LEAKING ON RIGHT ENGINE.
104941,"#2, 3 & 4 INTAKES LEAKING ON LEFT ENGINE."
104942,#2 ROCKER COVER LEAKING.
104943,#3 INTAKE LEAKING ON RIGHT ENGINE.
104944,INTAKE 2 & 3 LEAKING ON LEFT ENGINE.
104945,RIGHT REAR ENGINE BAFFLE SCREW MISSING.
104946,#3 CYLINDER ROCKER COVER EXHAUST GAS TEMPERATURE  STAND OFF BROKEN.
104947,RIGHT ENGINE #3 INTAKE GASKET LEAKING.
104948,#3 UPPER BAFFLE SEAL MISSING ON RIGHT ENGINE.
104949,LOOSE SCREW ON FORWARD OIL COOLER SHROUD.
104950,"#2, 4 INTERCYLINDER BAFFLE CRACKED."
104951,LEFT BAFFLE PLUG DAMAGED.
104952,#4 INTAKE OIL LEAK.
104953,#3 INTAKE LEAKING.
104954,"#1, 2, 3 ROCKER COVERS LEAKING."
104955,THROTTLE LOOSE AT DASH.
104956,GROUNDING AREA FOR NEW ENGINE NEEDS PAINT REMOVED.
104957,FORWARD LEFT ENGINE BAFFLE NEEDS SMALL PATCH OVER LARGE CRACK & STOP
104958,ENGINE CHIP DETECTORS ARE REMOVED & WAITING FOR O-RINGS.
104959,DURING AUTO RECOVERY ENGINE RPM GOT TO 3500.
104960,#3 ROCKER COVER GASKET LEAKS.
104961,DURING AUTO RECOVERY ENGINE RPM GOT TO 3500.
104965,#2 INTAKE LEAKING.
104966,RIGHT REAR ENGINE BAFFLE MOUNT LOOSE.
104967,#2 INTAKE GASKET LEAKING.
104968,#1 ROCKER COVER GASKET LEAKING.
104969,SNIFFLER VALVES NEED TO BE CLEANED.
104970,FORWARD ENGINE BLACK SEAL NEEDS RTV WHERE INTAKE HITS IT.
104971,PAINT WAS NOT REMVOED AROUND ENGINE GROUNDING POINT.
104972,BAFFLE SCREW BY OIL DIPSTICK MISSING.
104973,BOTH BAFFLE PLUGS WORN (ENGINE).
104974,RIGHT BAFFLE TIE BROKEN.
104975,#2 & 4 INTAKE GASKETS ARE LEAKING.
104976,LEFT ENGINE CENTER CASE BOLT LEAKING OIL.
104977,RIGHT ENGINE #3 CYLINDER HAS LOW COMPRESSION (16/80).
104978,LEFT ENGINE CENTER CASE BOLT LEAKING OIL.
104979,RIGHT ENGINE #3 CYLINDER HAS LOW COMPRESSION (16/80).
104980,RPM WENT TO RED.
104981,"THROTTLE IDLE, ENGINE SHUT DOWN."
104982,#3 INTAKE TUBE GASKET LEAKING.
104983,HARDWARE MISSING @ #3 BAFFLE.
104984,#4 INTAKE GASKET LEAKS.
104985,#2 & 4 INTAKE GASKETS LEAKING.
104986,#2 INTAKE IS LEAKING.
104987,"INTAKES 2, 3 & 4 LEAKING ON LEFT ENGINE."
104988,#4 & 3 INTAKE LEAKING ON RIGHT ENGINE.
104989,CRACK ON BOTTOM O/B CORNER OF AFT BAFFLE @ LEFT OIL COOLER.
104990,BRACKET BROKEN FOR #4 BAFFLE.
104991,CLIP FOR OIL BAFFLE COOLER BRACKET WORN.
104992,#1 INTAKE GASKET LEAKING.
104993,#4 INTAKE LEAKING ON LEFT ENGINE.
104994,#1 & 3 INTAKES LEAKING ON RIGHT ENGINE.
104995,#1 ROCKER COVER LEAKING ON RIGHT ENGINE.
104996,ENGINE BAFFLE PLUGS ARE WORN.
104997,#2 INTAKE GASKET LEAKING.
104998,"#1, 4 INTAKE GASKETS ARE LEAKING."
104999,#1 & 2 INTAKES LEAKING.
105000,ENGINE TO BAFFLE ATTACH FITTING MISSING SCREW.
105001,#2 INTAKE LEAKING.
105002,BAFFLE SCREW MISSING ABOVE #2 CYLINDER.
105003,#3 INTAKE GASKET LEAKS.
105004,#1 & 3 ROCKER COVER GASKETS LEAK.
105005,"SCREW FOR RIGHT AFT BAFFLE, BEHIND OIL DIPSTICK, LOOSE."
105006,"GROUNDING WIRE TO ENGINE, PAINT NOT REMOVED AND BOLT LOOSE."
105007,"BLACK BAFFLE SEAL, FORWARD ENGINE, HAS SMALL WORN SPOT ON LEFT SIDE."
105008,ENGINE BAFFLE PLUGS WORN.
105009,"#1, 3 ROCKER COVER GASKETS LEAKING."
